Name in Fastas,Genome,S3 Gene?,GeneID/Accession,Data Source,Genome Type,Sequencing,Assembler,MetaType,PhyloKingdom,PhyloPhylum,PhyloClass,PhyloOrder,PhyloFamily,PhyloGenus,IMGAccession,NCBIAccession,BioSample,BioProject,Sample Location,Country,Latitude,Longitude,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Habitat,Treatment,Genome Size,Scaffolds,Genes,GC%,16S rRNA sequences,CRISPRs,Citation/ContactName,ClosestIsolateRef,IsolateRefAlignLength,IsolateRefPercID,IsolateRefEvalue,IsolateRefBitscore,ClosestGenomeRef,GenomeRefAlignLength,GenomeRefPercID,GenomeRefEvalue,GenomeRefBitscore,Outgroup
3300007959==Ga0079306_100508713,"Deep subsurface shale carbon reservoir microbial communities from Ohio, USA - Methanotroph_Enrichment_5",Yes,Ga0079306_100508713,IMG,Gene,Illumina HiSeq 2500-1TB,MEGAHIT v. MEGAHIT v1.0.3,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300007959,NA,SAMN06266346,PRJNA365436,Old Woman Creek National Estuarine Research Reserve,USA,41.3769,-82.5172,Aquatic,Wetlands,Freshwater,Wetland,Freshwater wetlands,Enrichment,365.70,334453,584887,NA,343,157,Kelly Wrighton,Methylobacter tundripaludum 33/32,223,98.21,3E-165,451,Methylobacter tundripaludum SV96,223,98.21,6E-165,451,NA
3300007959==Ga0079306_10589762,"Deep subsurface shale carbon reservoir microbial communities from Ohio, USA - Methanotroph_Enrichment_5",Yes,Ga0079306_10589762,IMG,Gene,Illumina HiSeq 2500-1TB,MEGAHIT v. MEGAHIT v1.0.3,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300007959,NA,SAMN06266346,PRJNA365436,Old Woman Creek National Estuarine Research Reserve,USA,41.3769,-82.5172,Aquatic,Wetlands,Freshwater,Wetland,Freshwater wetlands,Enrichment,365.70,334453,584887,NA,343,157,Kelly Wrighton,Methylobacter tundripaludum 33/32,223,99.1,8E-166,453,Methylobacter tundripaludum SV96,223,99.1,1E-165,453,NA
3300003499==JGI25930J51415_10056684,"Freshwater lake microbial communities from Lake Huron, USA, analyzing microbial food webs and carbon cycling - Fa13.BD.MLB.DN",Yes,JGI25930J51415_10056684,IMG,Gene,"Illumina HiSeq 2000, Illumina HiSeq 2500",FINDOUT,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300003499,NA,SAMN06267929,PRJNA366899,Lake Michigan,USA,43.1998,-86.5698,Aquatic,Lentic,Freshwater,Lake Water,Freshwater lake,Native,199.85,383753,479020,NA,429,88,Vincent Denef,Methylobacter sp. KS41,223,91.03,2E-154,424,Crenothrix sp. D3,223,92.83,2E-155,427,NA
3300003859==Ga0031653_100101904,"Freshwater lake sediment microbial communities from the University of Notre Dame, USA, for methane emissions studies - BRP12 BR",Yes,Ga0031653_100101904,IMG,Gene,"Illumina HiSeq 2000, Illumina HiSeq 2500","SOAPdenovo,newbler,minimus2 v. Version 1.05: testing... 2010,(v2.8 (20120726_1306)),AMOS/3.1.0_1",MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300003859,NA,SAMN06267853,PRJNA365731,University of Notre Dame,USA,41.7,-86.23,Aquatic,Lentic,Freshwater,Lake Sediment,Freshwater lake sediment,Native,450.90,908112,1096291,NA,849,55,Stuart Jones,Methylobacter sp. KS41,223,96.41,2E-161,442,Methylobacter sp. KS41 3,223,96.41,3E-161,442,NA
3300003861==Ga0031654_100603703,"Freshwater lake sediment microbial communities from the University of Notre Dame, USA, for methane emissions studies - CRP12 CR",Yes,Ga0031654_100603703,IMG,Gene,"Illumina HiSeq 2000, Illumina HiSeq 2500","SOAPdenovo,newbler,minimus2 v. Version 1.05: testing... 2010,(v2.8 (20120726_1306)),AMOS/3.1.0_1",MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300003861,NA,SAMN06267854,PRJNA365732,University of Notre Dame,USA,41.7,-86.23,Aquatic,Lentic,Freshwater,Lake Sediment,Freshwater lake sediment,Native,591.94,1275290,1510507,NA,752,195,Stuart Jones,Methylobacter luteus IMV-B-3098T,193,96.37,3E-140,387,Crenothrix sp. D3,193,98.45,3E-141,390,NA
3300004240==Ga0007787_100506114,"Freshwater microbial communities from Lake Huron, USA - Fa13.BD.MLB.SN",Yes,Ga0007787_100506114,IMG,Gene,"Illumina HiSeq 2000, Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004240,NA,SAMN06267928,PRJNA366898,Lake Michigan,USA,43.1998,-86.5698,Aquatic,Lentic,Freshwater,Lake Water,Freshwater lake,Native,1478.26,3369724,3864947,NA,1039,1030,Vincent Denef,Methylomicrobium kenyense AMO1,221,74.66,3E-127,355,Chromatiales bacterium USCg_Taylor,210,85.71,4E-133,371,NA
3300004240==Ga0007787_100028542,"Freshwater microbial communities from Lake Huron, USA - Fa13.BD.MLB.SN",Yes,Ga0007787_100028542,IMG,Gene,"Illumina HiSeq 2000, Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004240,NA,SAMN06267928,PRJNA366898,Lake Michigan,USA,43.1998,-86.5698,Aquatic,Lentic,Freshwater,Lake Water,Freshwater lake,Native,1478.26,3369724,3864947,NA,1039,1030,Vincent Denef,Methylobacter sp. KS41,223,91.03,2E-154,424,Crenothrix sp. D3,223,92.83,2E-155,427,NA
3300005662==Ga0078894_104424941,"Freshwater microbial communities from Lake Huron, USA - Su13.BD.MLB.SD (version 4)",Yes,Ga0078894_104424941,IMG,Gene,"Illumina HiSeq 2000, Illumina HiSeq 2500",MEGAHIT v. MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300005662,NA,SAMN06267920,PRJNA366890,Lake Michigan,USA,43.1998,-86.5698,Aquatic,Lentic,Freshwater,Lake Water,Freshwater lake,Native,3700.48,7541345,9869012,NA,2053,3690,Vincent Denef,Methylomicrobium kenyense AMO1,221,74.66,3E-127,355,Chromatiales bacterium USCg_Taylor,210,85.71,4E-133,371,NA
3300005662==Ga0078894_113005571,"Freshwater microbial communities from Lake Huron, USA - Su13.BD.MLB.SD (version 4)",Yes,Ga0078894_113005571,IMG,Gene,"Illumina HiSeq 2000, Illumina HiSeq 2500",MEGAHIT v. MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300005662,NA,SAMN06267920,PRJNA366890,Lake Michigan,USA,43.1998,-86.5698,Aquatic,Lentic,Freshwater,Lake Water,Freshwater lake,Native,3700.48,7541345,9869012,NA,2053,3690,Vincent Denef,Methylomicrobium kenyense AMO1,183,78.69,3E-109,308,Chromatiales bacterium USCg_Taylor,183,85.79,3E-114,321,NA
3300004282==Ga0066599_1001787042,"Freshwater pond sediment microbial communities from the University of Edinburgh, under environmental carbon perturbations - Initial sediment",Yes,Ga0066599_1001787042,IMG,Gene,Illumina HiSeq 2500-1TB,megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004282,Unknown,Unknown,PRJNA365638,Crawford Collection of the Royal Observatory Edinburgh,United Kingdom,55.9232,-3.1878,Aquatic,Pond,Freshwater,Lake Sediment,Freshwater,Native,4428.15,12651985,13483359,NA,3036,1313,Rosalind Allen,Methylobacter sp. KS41,223,90.13,5E-153,421,Crenothrix sp. D3,223,91.93,2E-154,425,NA
3300004282==Ga0066599_1006268221,"Freshwater pond sediment microbial communities from the University of Edinburgh, under environmental carbon perturbations - Initial sediment",Yes,Ga0066599_1006268221,IMG,Gene,Illumina HiSeq 2500-1TB,megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004282,Unknown,Unknown,PRJNA365638,Crawford Collection of the Royal Observatory Edinburgh,United Kingdom,55.9232,-3.1878,Aquatic,Pond,Freshwater,Lake Sediment,Freshwater,Native,4428.15,12651985,13483359,NA,3036,1313,Rosalind Allen,Methylobacter sp. KS41,215,97.67,6E-157,430,Methylococcaceae bacterium UBA3127,215,99.07,1E-158,435,NA
3300004184==Ga0066401_10222332,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 1_LOW4,Yes,Ga0066401_10222332,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004184,NA,SAMN06266427,PRJNA367048,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,261.52,681929,748244,NA,134,507,Ludmila Chistoserdova,Methylobacter sp. BBA5.1,223,93.72,2E-159,437,Methylobacter whittenburyi ACM 3310,223,93.72,3E-159,437,NA
3300004184==Ga0066401_10687441,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 1_LOW4,Yes,Ga0066401_10687441,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004184,NA,SAMN06266427,PRJNA367048,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,261.52,681929,748244,NA,134,507,Ludmila Chistoserdova,Methylobacter sp. BBA5.1,180,98.33,3E-130,361,Methylobacter whittenburyi ACM 3310,180,98.33,5E-130,361,NA
3300004180==Ga0066408_10050945,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 10_HOW4,Yes,Ga0066408_10050945,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004180,NA,SAMN06267611,PRJNA367055,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,204.99,485429,548340,NA,151,303,Ludmila Chistoserdova,Methylobacter sp. BBA5.1,223,91.48,3E-157,431,Methylobacter whittenburyi ACM 3310,223,91.48,5E-157,431,NA
3300004180==Ga0066408_10011122,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 10_HOW4,Yes,Ga0066408_10011122,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004180,NA,SAMN06267611,PRJNA367055,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,204.99,485429,548340,NA,151,303,Ludmila Chistoserdova,Methylobacter luteus IMV-B-3098T,223,95.52,1E-161,442,Methylococcaceae bacterium UBA3127,223,99.1,9E-166,454,NA
3300004254==Ga0066468_10185621,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 100_LOW12,Yes,Ga0066468_10185621,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004254,NA,SAMN06266372,PRJNA365591,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,68.71,109253,144076,NA,38,34,Ludmila Chistoserdova,Methylobacter tundripaludum 33/32,223,98.65,8E-166,453,Methylobacter tundripaludum SV96,223,98.65,2E-165,453,NA
3300004254==Ga0066468_10185671,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 100_LOW12,Yes,Ga0066468_10185671,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004254,NA,SAMN06266372,PRJNA365591,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,68.71,109253,144076,NA,38,34,Ludmila Chistoserdova,Methylobacter tundripaludum 33/32,223,100,3E-167,456,Methylobacter tundripaludum SV96,223,100,6E-167,456,NA
3300004247==Ga0066471_1000728,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 105_HOW12,Yes,Ga0066471_1000728,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004247,NA,SAMN06264361,PRJNA365594,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,44.27,74659,96844,NA,35,28,Ludmila Chistoserdova,Methylobacter tundripaludum OWC-DMM,223,100,2E-167,457,Methylobacter sp. UBA6712,223,100,5E-167,457,NA
3300004250==Ga0066472_10100812,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 106_HOW12,Yes,Ga0066472_10100812,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004250,NA,SAMN06266389,PRJNA365595,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,73.15,83257,130166,NA,58,37,Ludmila Chistoserdova,Methylobacter tundripaludum OWC-DMM,223,100,2E-167,457,Methylobacter sp. UBA6712,223,100,5E-167,457,NA
3300004219==Ga0066473_1148941,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 109_LOW13,Yes,Ga0066473_1148941,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004219,NA,SAMN06266373,PRJNA365596,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater,Enrichment,51.65,90403,114796,NA,29,33,Ludmila Chistoserdova,Methylobacter tundripaludum OWC-DMM,206,100,7E-154,422,Methylobacter sp. UBA6712,206,100,1E-153,422,NA
3300004219==Ga0066473_1149031,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 109_LOW13,Yes,Ga0066473_1149031,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004219,NA,SAMN06266373,PRJNA365596,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater,Enrichment,51.65,90403,114796,NA,29,33,Ludmila Chistoserdova,Methylobacter tundripaludum OWC-DMM,206,100,7E-154,422,Methylobacter sp. UBA6712,206,100,1E-153,422,NA
3300004215==Ga0066474_1000328,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 110_LOW13,Yes,Ga0066474_1000328,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004215,NA,SAMN06266463,PRJNA365597,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,16.52,21244,31268,NA,23,18,Ludmila Chistoserdova,Methylobacter tundripaludum 33/32,223,100,3E-167,456,Methylobacter tundripaludum SV96,223,100,6E-167,456,NA
3300004228==Ga0066475_10086541,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 111_LOW13,Yes,Ga0066475_10086541,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004228,NA,SAMN06266464,PRJNA365598,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater,Enrichment,52.93,102829,126146,NA,53,42,Ludmila Chistoserdova,Methylobacter tundripaludum 33/32,223,98.65,8E-166,453,Methylobacter tundripaludum SV96,223,98.65,2E-165,453,NA
3300004228==Ga0066475_10086601,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 111_LOW13,Yes,Ga0066475_10086601,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004228,NA,SAMN06266464,PRJNA365598,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater,Enrichment,52.93,102829,126146,NA,53,42,Ludmila Chistoserdova,Methylobacter tundripaludum 33/32,223,100,3E-167,456,Methylobacter tundripaludum SV96,223,100,6E-167,456,NA
3300004225==Ga0066476_1157251,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 112_LOW13,Yes,Ga0066476_1157251,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004225,NA,SAMN06266434,PRJNA365599,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,64.82,93029,129169,NA,41,35,Ludmila Chistoserdova,Methylobacter tundripaludum 33/32,223,98.65,8E-166,453,Methylobacter tundripaludum SV96,223,98.65,2E-165,453,NA
3300004225==Ga0066476_1157181,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 112_LOW13,Yes,Ga0066476_1157181,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004225,NA,SAMN06266434,PRJNA365599,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,64.82,93029,129169,NA,41,35,Ludmila Chistoserdova,Methylobacter tundripaludum 33/32,223,100,3E-167,456,Methylobacter tundripaludum SV96,223,100,6E-167,456,NA
3300004222==Ga0066479_100013032,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 117_HOW13,Yes,Ga0066479_100013032,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004222,NA,SAMN06264839,PRJNA365602,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,73.41,105223,146521,NA,55,34,Ludmila Chistoserdova,Methylobacter tundripaludum OWC-DMM,223,100,2E-167,457,Methylobacter sp. UBA6712,223,100,5E-167,457,NA
3300004216==Ga0066480_10014732,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 118_HOW13,Yes,Ga0066480_10014732,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004216,NA,SAMN06264359,PRJNA365603,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater,Enrichment,42.69,42709,71731,NA,45,23,Ludmila Chistoserdova,Methylobacter tundripaludum OWC-DMM,223,100,2E-167,457,Methylobacter sp. UBA6712,223,100,5E-167,457,NA
3300004245==Ga0066481_1113991,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 121_LOW14,Yes,Ga0066481_1113991,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004245,NA,SAMN06264358,PRJNA365604,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,41.62,66172,87605,NA,27,26,Ludmila Chistoserdova,Methylobacter tundripaludum OWC-DMM,206,100,7E-154,422,Methylobacter sp. UBA6712,206,100,1E-153,422,NA
3300004245==Ga0066481_1114001,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 121_LOW14,Yes,Ga0066481_1114001,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004245,NA,SAMN06264358,PRJNA365604,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,41.62,66172,87605,NA,27,26,Ludmila Chistoserdova,Methylobacter tundripaludum OWC-DMM,206,100,7E-154,422,Methylobacter sp. UBA6712,206,100,1E-153,422,NA
3300004246==Ga0066482_1126311,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 122_LOW14,Yes,Ga0066482_1126311,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004246,NA,SAMN06266465,PRJNA365605,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,45.14,74325,96687,NA,29,29,Ludmila Chistoserdova,Methylobacter tundripaludum OWC-DMM,206,100,7E-154,422,Methylobacter sp. UBA6712,206,100,1E-153,422,NA
3300004246==Ga0066482_1126331,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 122_LOW14,Yes,Ga0066482_1126331,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004246,NA,SAMN06266465,PRJNA365605,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,45.14,74325,96687,NA,29,29,Ludmila Chistoserdova,Methylobacter tundripaludum OWC-DMM,206,100,7E-154,422,Methylobacter sp. UBA6712,206,100,1E-153,422,NA
3300004248==Ga0066483_1066531,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 123_LOW14,Yes,Ga0066483_1066531,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004248,NA,SAMN06266436,PRJNA365606,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,36.47,65598,82693,NA,41,33,Ludmila Chistoserdova,Methylobacter tundripaludum 33/32,223,98.65,8E-166,453,Methylobacter tundripaludum SV96,223,98.65,2E-165,453,NA
3300004248==Ga0066483_1066541,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 123_LOW14,Yes,Ga0066483_1066541,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004248,NA,SAMN06266436,PRJNA365606,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,36.47,65598,82693,NA,41,33,Ludmila Chistoserdova,Methylobacter tundripaludum 33/32,223,100,3E-167,456,Methylobacter tundripaludum SV96,223,100,6E-167,456,NA
3300004256==Ga0066484_10148671,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 124_LOW14,Yes,Ga0066484_10148671,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004256,NA,SAMN06264838,PRJNA365607,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,64.93,106493,139673,NA,41,23,Ludmila Chistoserdova,Methylobacter tundripaludum 33/32,223,98.65,8E-166,453,Methylobacter tundripaludum SV96,223,98.65,2E-165,453,NA
3300004256==Ga0066484_10148661,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 124_LOW14,Yes,Ga0066484_10148661,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004256,NA,SAMN06264838,PRJNA365607,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,64.93,106493,139673,NA,41,23,Ludmila Chistoserdova,Methylobacter tundripaludum 33/32,223,100,3E-167,456,Methylobacter tundripaludum SV96,223,100,6E-167,456,NA
3300004258==Ga0066486_10289671,Freshwater sediment methanotrophic microbial communities from Lake Washington under simulated oxygen tension - Sediment Metagenome 128_HOW14,Yes,Ga0066486_10289671,IMG,Gene,"Illumina HiSeq 2500, Illumina HiSeq 2500-1TB",megahit v. megahit: MEGAHIT v0.2.0,MetaG,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified,3300004258,NA,SAMN06266437,PRJNA365609,Lake Washington,USA,48.3807,-122.1599,Aquatic,Sediment,Freshwater,Lake Sediment,Freshwater Sediment,Enrichment,118.18,191724,251319,NA,60,55,Ludmila Chistoserdova,Methylobacter tundripaludum 33/32,218,98.62,5E-162,443,Methylobacter tundripaludum SV96,218,98.62,1E-161,443,NA
